x,y
3.334896963945666926e+02,3.571789101982386683e+02
3.367088690864509317e+02,3.570816189781221510e+02
3.399280417783351709e+02,3.569843277580056338e+02
3.431472144702193532e+02,3.568870365378891165e+02
3.463663871621035923e+02,3.567897453177725993e+02
3.495083184512906200e+02,3.568907983909450650e+02
3.526502497404775909e+02,3.569918514641174738e+02
3.557921810296646186e+02,3.570929045372899395e+02
3.589341123188516463e+02,3.571939576104623484e+02
3.620760436080386171e+02,3.572950106836348141e+02
3.652179748972256448e+02,3.573960637568072798e+02
3.683599061864126725e+02,3.574971168299796886e+02
3.715018374755997002e+02,3.575981699031521543e+02
3.746437687647866710e+02,3.576992229763245632e+02
3.777857000539736987e+02,3.578002760494970289e+02
3.810003331164230076e+02,3.579176204468481046e+02
3.842149661788723165e+02,3.580349648441992372e+02
3.874295992413216254e+02,3.581523092415503129e+02
3.906442323037709343e+02,3.582696536389013886e+02
3.938588653662202432e+02,3.583869980362525212e+02
3.970734984286696090e+02,3.585043424336035969e+02
4.002881314911189179e+02,3.586216868309547294e+02
4.035027645535682268e+02,3.587390312283058051e+02
4.067173976160175357e+02,3.588563756256568809e+02
4.099320306784668446e+02,3.589737200230080134e+02
4.131466637409161535e+02,3.590910644203590891e+02
4.161712161046992833e+02,3.592213087171459165e+02
4.191957684684823562e+02,3.593515530139326870e+02
4.222203208322654859e+02,3.594817973107195144e+02
4.252448731960486157e+02,3.596120416075062849e+02
4.282694255598317454e+02,3.597422859042931123e+02
4.312939779236148183e+02,3.598725302010798828e+02
4.343185302873979481e+02,3.600027744978667101e+02
4.373430826511810778e+02,3.601330187946534807e+02
4.403676350149642076e+02,3.602632630914403080e+02
4.433921873787472805e+02,3.603935073882270785e+02
4.464167397425304102e+02,3.605237516850139059e+02
4.494412921063135400e+02,3.606539959818006764e+02
4.524658444700966129e+02,3.607842402785875038e+02
4.554903968338797426e+02,3.609144845753742743e+02
4.585149491976628724e+02,3.610447288721611017e+02
4.617654357037665704e+02,3.614711838399277894e+02
4.650159222098702685e+02,3.618976388076945341e+02
4.682664087159739665e+02,3.623240937754612219e+02
4.715168952220776646e+02,3.627505487432279665e+02
4.747673817281813058e+02,3.631770037109946543e+02
4.780178682342850038e+02,3.636034586787613989e+02
4.812683547403887019e+02,3.640299136465280867e+02
4.845188412464923999e+02,3.644563686142948313e+02
4.877693277525960980e+02,3.648828235820615191e+02
